Compound_ID,DrugBank,IUPHAR,KEGG,Protein_ID,Label
445459,TRUE,,,P06737,1
68841,TRUE,,,P06737,0
68841,TRUE,,,P11217,1
68841,TRUE,,,P11309,0
68841,TRUE,,,P05451,0
68841,TRUE,,,O15530,0
68841,TRUE,,,P13569,0
68841,TRUE,,,P08100,1
68841,TRUE,,,P26276,1
68841,TRUE,,,Q04759,0
68841,TRUE,,,P02974,0
68841,TRUE,,,P00634,0
68841,TRUE,,,O32723,1
68841,TRUE,,,P25924,0
68841,TRUE,,,O31465,0
68841,TRUE,,,P51584,1
68841,TRUE,,,Q03721,0
68841,TRUE,,,P07515,1
68841,TRUE,,,P17612,1
68841,TRUE,,,Q15796,1
68841,TRUE,,,P29508,1
68841,TRUE,,,Q9UL54,0
68841,,TRUE,,Q14833,1
68841,,TRUE,,P31423,1
68841,,TRUE,,O15303,0
68841,,TRUE,,Q14831,0
68841,,TRUE,,O00222,0
24883477,TRUE,,,P06737,1
16070039,TRUE,,,P06737,1
12148754,TRUE,,,P06737,1
9547901,TRUE,,,P06737,0
1175,TRUE,,,P06737,0
5862,TRUE,,,Q9Y600,0
5862,TRUE,,,Q9Y697,0
5862,TRUE,,,P35520,1
5862,TRUE,,,P17174,1
5862,TRUE,,,P32929,0
5862,TRUE,,,P48506,0
5862,TRUE,,,P48507,0
5862,TRUE,,,Q16878,1
5862,TRUE,,,P48637,0
5862,TRUE,,,P16455,0
5862,TRUE,,,P49589,1
5862,TRUE,,,Q9BZV2,0
5862,TRUE,,,Q9HA77,1
1060,TRUE,,,Q9BYV1,1
1060,TRUE,,,P80404,0
1060,TRUE,,,P11177,1
1060,TRUE,,,P14618,1
1060,TRUE,,,P30613,0
1060,TRUE,,,O15403,0
1060,TRUE,,,P36021,0
1060,TRUE,,,O15374,1
1060,TRUE,,,O95907,1
1060,TRUE,,,O15375,1
1060,TRUE,,,O60669,0
1060,TRUE,,,O15427,1
1060,TRUE,,,P53985,0
1060,TRUE,,,P11498,0
750,TRUE,,,Q9BYV1,0
750,TRUE,,,P34897,1
750,TRUE,,,P21549,1
750,TRUE,,,P34896,1
750,TRUE,,,P13196,0
750,TRUE,,,O75600,0
750,TRUE,,,P23378,0
750,TRUE,,,P22557,1
750,TRUE,,,Q53ET4,0
750,TRUE,,,O60391,0
750,TRUE,,,P48637,1
750,TRUE,,,P23415,1
750,TRUE,,,O75311,1
750,TRUE,,,Q14330,1
750,TRUE,,,P48167,0
750,TRUE,,,P50440,0
750,TRUE,,,Q14749,1
750,TRUE,,,Q7Z2H8,0
750,TRUE,,,P23416,1
750,TRUE,,,P48067,0
750,TRUE,,,P41250,0
750,TRUE,,,P23434,1
750,TRUE,,,Q14032,1
750,TRUE,,,Q6IB77,1
750,TRUE,,,Q8WU03,0
750,TRUE,,,Q969I3,1
750,TRUE,,,Q9H598,1
750,TRUE,,,Q9P0Z9,0
750,TRUE,,,Q9Y345,0
750,,TRUE,,Q05586,0
750,,TRUE,,Q13224,0
750,,TRUE,,O15399,0
750,,TRUE,,Q5T6X5,1
750,,TRUE,,Q969I6,1
750,TRUE,TRUE,,Q14957,0
750,TRUE,TRUE,,Q12879,0
5950,TRUE,,,Q9BYV1,0
5950,TRUE,,,Q9Y697,0
5950,TRUE,,,P80404,1
5950,TRUE,,,P21549,1
5950,TRUE,,,Q16719,1
5950,TRUE,,,P24298,0
5950,TRUE,,,Q8IUZ5,0
5950,TRUE,,,Q8TD30,1
5950,TRUE,,,Q9UHI5,0
5950,TRUE,,,Q7Z2H8,0
5950,TRUE,,,P49588,0
5950,TRUE,,,P43007,1
5950,TRUE,,,Q5JTZ9,1
5950,,TRUE,,Q5T6X5,0
5950,,TRUE,,Q9H2H9,0
5950,,TRUE,,Q96QD8,0
5950,,TRUE,,Q969I6,0
5951,TRUE,,,P20132,1
5951,TRUE,,,P21549,1
5951,TRUE,,,P35520,0
5951,TRUE,,,Q9GZT4,0
5951,TRUE,,,O15269,0
5951,TRUE,,,O15270,1
5951,TRUE,,,P49591,1
5951,,TRUE,,Q5T6X5,1
643976,TRUE,,,Q9NVS9,0
643976,TRUE,,,P29475,0
643976,TRUE,,,P30043,1
643976,TRUE,,,O34974,0
643976,TRUE,,,P42593,0
643976,TRUE,,,P16435,1
643976,TRUE,,,P0A7E1,1
643976,TRUE,,,Q12882,1
643976,TRUE,,,Q969G6,1
643976,TRUE,,,Q02127,0
643976,TRUE,,,P17117,0
643976,TRUE,,,P46072,1
643976,TRUE,,,P38489,1
643976,TRUE,,,P00322,0
643976,TRUE,,,P0A2Y7,1
643976,TRUE,,,Q53ZE5,0
643976,TRUE,,,P0AFI7,0
643976,TRUE,,,P71278,0
643976,TRUE,,,Q9WZW1,1
643976,TRUE,,,Q9FDN7,0
643976,TRUE,,,P41407,1
643976,TRUE,,,Q56691,0
643976,TRUE,,,P00323,0
643976,TRUE,,,P55038,0
643976,TRUE,,,O69755,1
643976,TRUE,,,P63462,0
643976,TRUE,,,P30197,0
643976,TRUE,,,P56122,0
643976,TRUE,,,P0A3D9,0
643976,TRUE,,,P10340,1
643976,TRUE,,,Q8DW21,0
643976,TRUE,,,Q9WXV1,1
643976,TRUE,,,P50618,1
643976,TRUE,,,P69772,1
643976,TRUE,,,P20932,0
643976,TRUE,,,O07529,0
643976,TRUE,,,Q9ZK53,0
643976,TRUE,,,Q01234,1
643976,TRUE,,,Q746I8,0
643976,TRUE,,,P16099,1
643976,TRUE,,,Q9F0J6,1
643976,TRUE,,,Q51990,1
643976,TRUE,,,Q51793,0
643976,TRUE,,,Q9RYU4,0
643976,TRUE,,,P61949,0
643976,TRUE,,,P50740,0
643976,TRUE,,,Q60049,1
643976,TRUE,,,Q46604,0
643976,TRUE,,,Q81EW9,0
643976,TRUE,,,Q96CD2,1
643976,TRUE,,,Q9UJM8,1
643976,TRUE,,,O00141,1
643976,TRUE,,,Q9NYQ3,1
643976,TRUE,,,O75676,0
1567,TRUE,,,Q9NVS9,1
1567,TRUE,,,Q07982,1
1567,TRUE,,,P01009,0
1567,TRUE,,,Q04760,1
1567,TRUE,,,P0AFI7,1
1567,TRUE,,,P09382,0
1567,TRUE,,,P00720,1
1567,TRUE,,,O25323,1
1567,TRUE,,,P03765,0
1567,TRUE,,,Q96GD3,0
33032,TRUE,,,P80404,1
33032,TRUE,,,Q99259,1
33032,TRUE,,,P00505,0
33032,TRUE,,,P54687,0
33032,TRUE,,,P17174,0
33032,TRUE,,,Q9Y617,0
33032,TRUE,,,P24298,0
33032,TRUE,,,P17735,1
33032,TRUE,,,O15382,1
33032,TRUE,,,Q8N5Z0,1
33032,TRUE,,,O95954,0
33032,TRUE,,,Q2TU84,0
33032,TRUE,,,Q6YP21,0
33032,TRUE,,,Q8TD30,0
33032,TRUE,,,Q9UI32,0
33032,TRUE,,,Q9UPY5,1
33032,TRUE,,,Q9UDR5,1
33032,TRUE,,,P48506,1
33032,TRUE,,,P00367,0
33032,TRUE,,,P07814,1
33032,TRUE,,,P08243,1
33032,TRUE,,,P49915,1
33032,TRUE,,,P39086,0
33032,TRUE,,,Q05586,1
33032,TRUE,,,O15399,0
33032,TRUE,,,P38435,0
33032,TRUE,,,Q13224,0
33032,TRUE,,,Q14957,0
33032,TRUE,,,O60391,1
33032,TRUE,,,Q04609,0
33032,TRUE,,,Q05329,1
33032,TRUE,,,P48507,0
33032,TRUE,,,P42261,0
33032,TRUE,,,Q8TCU5,0
33032,TRUE,,,Q05932,0
33032,TRUE,,,P49448,0
33032,TRUE,,,Q12879,1
33032,TRUE,,,P54886,1
33032,TRUE,,,O94925,0
33032,TRUE,,,Q13002,0
33032,TRUE,,,Q16099,1
33032,TRUE,,,Q16478,0
33032,TRUE,,,P42262,1
33032,TRUE,,,P48058,1
33032,TRUE,,,P42263,1
33032,TRUE,,,Q13003,0
33032,TRUE,,,P43004,0
33032,TRUE,,,P43005,0
33032,TRUE,,,P43003,0
33032,TRUE,,,O15067,0
33032,TRUE,,,O75879,0
33032,TRUE,,,P15104,0
33032,TRUE,,,Q6IA69,0
33032,TRUE,,,O00341,0
33032,TRUE,,,O14841,0
33032,TRUE,,,O43424,0
33032,TRUE,,,P48664,1
33032,TRUE,,,Q07075,1
33032,TRUE,,,Q5JPH6,1
33032,TRUE,,,Q5TDP6,0
33032,TRUE,,,Q8N159,1
33032,TRUE,,,Q9H1K4,0
33032,TRUE,,,Q9H936,1
33032,TRUE,,,Q9ULA0,1
33032,TRUE,,,Q9ULK0,0
33032,TRUE,,,Q9Y646,0
33032,,TRUE,,P23385,1
33032,,TRUE,,Q14416,1
33032,,TRUE,,P31421,1
33032,,TRUE,,Q14832,1
33032,,TRUE,,P31422,0
33032,,TRUE,,P31423,1
33032,,TRUE,,P41594,0
33032,,TRUE,,P31424,1
33032,,TRUE,,O15303,0
33032,,TRUE,,P35349,1
33032,TRUE,TRUE,,Q13255,1
33032,TRUE,TRUE,,Q14833,0
33032,TRUE,TRUE,,Q14831,1
33032,TRUE,TRUE,,O00222,1
3675,TRUE,,,P80404,0
3675,TRUE,,,P24298,1
3675,TRUE,,,Q8TD30,1
3675,TRUE,,,Q9UGI5,1
3675,,TRUE,,P10632,1
3675,,TRUE,,Q01959,0
3675,,TRUE,,P23975,0
3675,,TRUE,,P31645,1
3675,TRUE,TRUE,,Q16853,1
3675,TRUE,TRUE,TRUE,P27338,0
3675,TRUE,TRUE,TRUE,P21397,0
5288385,TRUE,,,P80404,0
5289553,TRUE,,,P80404,1
1053,TRUE,,,Q16773,1
1053,TRUE,,,O15382,1
1053,TRUE,,,P10724,0
1053,TRUE,,,P06986,1
1053,TRUE,,,Q56232,1
1053,TRUE,,,Q9X0D0,0
1053,TRUE,,,P19938,0
1053,TRUE,,,P22256,1
1053,TRUE,,,Q8ZNF3,1
1053,TRUE,,,P24630,0
71567,TRUE,,,Q16773,1
71567,TRUE,,,P06850,0
71567,,TRUE,,P49019,0
10062732,TRUE,,,Q16773,1
10062732,TRUE,,,P21549,1
10062732,TRUE,,,P11926,1
10062732,TRUE,,,P11217,0
10062732,TRUE,,,P00509,0
10062732,TRUE,,,P12995,1
10062732,TRUE,,,Q9X266,0
10062732,TRUE,,,P83786,0
10062732,TRUE,,,P13254,0
10062732,TRUE,,,P00935,0
10062732,TRUE,,,P33447,1
802,TRUE,,,Q16773,1
802,TRUE,,,Q9NZK7,1
802,TRUE,,,P63208,0
91443,TRUE,,,P34897,0
91443,TRUE,,,P34896,1
91443,TRUE,,,O95954,1
91443,TRUE,,,Q53ET4,1
91443,TRUE,,,P48728,0
91443,TRUE,,,P13995,1
91443,TRUE,,,P11586,1
91443,TRUE,,,Q99707,1
91443,TRUE,,,O75891,0
91443,TRUE,,,P31939,0
91443,TRUE,,,P42898,0
91443,TRUE,,,Q96DP5,1
DB11638,TRUE,,,P34897,1
DB11638,TRUE,,,P99999,1
DB11638,TRUE,,,P07195,1
DB11638,TRUE,,,P49419,0
DB11638,TRUE,,,P00338,0
DB11638,TRUE,,,P04406,1
DB11638,TRUE,,,P40925,1
DB11638,TRUE,,,O14556,1
DB11638,TRUE,,,P11413,0
DB11638,TRUE,,,P14618,0
DB11638,TRUE,,,P07437,1
DB11638,TRUE,,,P62937,1
DB11638,TRUE,,,P06744,1
DB11638,TRUE,,,P07237,0
DB11638,TRUE,,,P11142,1
DB11638,TRUE,,,P23528,1
DB11638,TRUE,,,P00558,0
DB11638,TRUE,,,P68104,0
DB11638,TRUE,,,P63261,1
DB11638,TRUE,,,O00299,0
DB11638,TRUE,,,P06733,0
DB11638,TRUE,,,Q06830,0
DB11638,TRUE,,,P22626,0
DB11638,TRUE,,,P23246,1
DB11638,TRUE,,,P18669,0
DB11638,TRUE,,,Q92945,0
DB11638,TRUE,,,P27816,1
DB11638,TRUE,,,Q71U36,1
DB11638,TRUE,,,P04350,1
DB11638,TRUE,,,P04792,1
DB11638,TRUE,,,P08670,1
DB11638,TRUE,,,O75964,1
DB11638,TRUE,,,P61978,1
DB11638,TRUE,,,P09493,0
DB11638,TRUE,,,P60174,1
DB11638,TRUE,,,P04075,1
DB11638,TRUE,,,P15924,0
DB11638,TRUE,,,Q27743,0
DB11638,TRUE,,,P02768,1
DB11638,TRUE,,,P20810,1
DB11638,TRUE,,,P07355,1
DB11638,TRUE,,,P20035,0
DB11638,TRUE,,,P46925,1
DB11638,TRUE,,,Q8I3X4,1
DB11638,TRUE,,,Q9BUF5,0
DB11638,TRUE,,,P55786,1
DB11638,TRUE,,,P62750,1
DB11638,TRUE,,,P25705,1
DB11638,TRUE,,,P07737,0
DB11638,TRUE,,,P09382,1
DB11638,TRUE,,,P37108,1
DB11638,TRUE,,,P49368,1
DB11638,TRUE,,,Q13838,1
DB11638,TRUE,,,Q9C0B1,1
DB11638,TRUE,,,Q16555,0
DB11638,TRUE,,,P48047,0
DB11638,TRUE,,,P21291,0
DB11638,TRUE,,,P21333,0
DB11638,TRUE,,,Q14103,0
DB11638,TRUE,,,Q5SSJ5,1
DB11638,TRUE,,,P46940,1
DB11638,TRUE,,,P06748,0
DB11638,TRUE,,,P27635,0
DB11638,TRUE,,,P50914,1
DB11638,TRUE,,,Q07020,1
DB11638,TRUE,,,P42766,0
DB11638,TRUE,,,P36578,0
DB11638,TRUE,,,P62277,1
DB11638,TRUE,,,P08708,0
DB11638,TRUE,,,P62269,0
DB11638,TRUE,,,P39019,0
DB11638,TRUE,,,P62857,1
DB11638,TRUE,,,P46782,1
DB11638,TRUE,,,P62753,0
DB11638,TRUE,,,P62241,0
DB11638,TRUE,,,P46781,1
DB11638,TRUE,,,Q15637,1
DB11638,TRUE,,,P62316,1
DB11638,TRUE,,,Q08170,1
DB11638,TRUE,,,P37802,1
DB11638,TRUE,,,Q15942,1
DB11638,TRUE,,,Q01995,0
DB11638,TRUE,,,P35579,0
DB11638,TRUE,,,P17844,1
DB11638,TRUE,,,Q8I3Z5,0
DB11638,TRUE,,,Q5R2K6,1
DB11638,TRUE,,,Q6LFH8,0
DB11638,TRUE,,,Q00080,1
DB11638,TRUE,,,P13568,0
DB11638,TRUE,,,Q8IKW5,1
DB11638,TRUE,,,P86287,1
DB11638,TRUE,,,Q8IKK7,1
DB11638,TRUE,,,P14223,1
DB11638,TRUE,,,C6KT34,1
DB11638,TRUE,,,Q8IC05,0
DB11638,TRUE,,,Q8IKF0,1
DB11638,TRUE,,,C6KTA4,1
DB11638,TRUE,,,C0H4Y6,0
DB11638,TRUE,,,Q8IDH5,1
DB11638,TRUE,,,Q8II73,0
DB11638,TRUE,,,Q8I2Z8,0
DB11638,TRUE,,,Q8ILF7,1
DB11638,TRUE,,,Q8I0V4,1
DB11638,TRUE,,,Q8IJN7,0
DB11638,TRUE,,,Q8IKH8,1
DB11638,TRUE,,,A0A143ZZK9,0
DB11638,TRUE,,,P14642,0
DB11638,TRUE,,,P13817,0
DB11638,TRUE,,,Q7K6A4,1
DB11638,TRUE,,,Q8IKR1,0
DB11638,TRUE,,,Q8I431,0
DB11638,TRUE,,,Q8IDQ9,1
DB11638,TRUE,,,O97313,1
DB11638,TRUE,,,Q8IJT2,0
DB11638,TRUE,,,Q8IJC6,1
DB11638,TRUE,,,C0H571,1
DB11638,TRUE,,,T1RTG8,0
DB11638,TRUE,,,C0H5C2,1
DB11638,TRUE,,,Q8I6U8,1
DB11638,TRUE,,,Q08853,0
DB11638,TRUE,,,Q76NM6,1
DB11638,TRUE,,,Q8I3T9,1
DB11638,TRUE,,,Q8I0X2,1
DB11638,TRUE,,,Q8IM16,1
DB11638,TRUE,,,Q7KQM4,0
DB11638,TRUE,,,Q9N623,1
